Question,Answer
"What are the impacts of a warming climate on the cryosphere?

Global warming causes melting of ice on land such as glaciers, and ice sheets in Antarctica and Greenland. This adds water to the ocean, and raises global sea levels
Ice and snow reflect sunlight and have a cooling effect on the climate. Without ice, darker land and ocean absorbs heat and amplifies climate change.
Thawing permafrost releases significant amounts of greenhouse gases, causing further warming
Human populations living off or close to the sea will be affected as well as population within mountain regions","A, B, C, D"
"What is ice and snow albedo?

Albedo is the measure of how much light that hits a surface is reflected without being absorbed
Albedo is the measure the thickness of ice or snow
Albedo is the temperature of ice or snow
Albedo is the ratio between frozen water and snow",A
"How does the cryosphere interact with the atmosphere?

The atmosphere and the cryosphere do notinteract with each other
Some parts of the cryosphere interact with the atmosphere
The atmosphere and the cryosphere are the same thing
The atmosphere and the cryosphere are two key components of the Earth’s system and they have complex interactions",D
"How are earth observations of the cryosphere used practically?  

To monitor shipping routes and reduce the risk of ships hitting icebergs
To reduce the loss of life and property from natural disasters such as avalanches 
To monitor conditions for tourism and recreation 
To help with wildlife management","A, B, C, D"
"What is the benefit of monitoring the cryosphere using SAR instruments?

SAR instruments are cheaper than other instruments 
SAR instruments measure more precisely than optical instruments 
SAR instruments are not weather dependent and can penetrate cloud cover
Data from SAR instruments is easier to interpret and can therefore be used more widely than data from other instruments",C
"What is the difference between sea ice and icebergs?

Sea ice and icebergs are the same thing because they both float on the ocean
Icebergs are colder than sea ice 
Icebergs consist of older sea ice, whereas sea ice is always young and melts quickly
Sea ice forms on ocean water, but icebergs break off from larger formations such as glaciers",D
"How does melting sea ice effect the ocean’s circulation system?

When sea ice melts, it makes the sea water less salty and therefore less dense. This means the water sinks and disrupts the ocean’s circulation system
When sea ice melts, it makes the ocean water cleaner and increases the rate of ocean circulation
When sea ice melts, it makes the sea water more salty and therefore more dense. This means the water floats  and disrupts the ocean’s circulation system
When sea ice melts, the ocean dramatically drops in temperature and stops circulating",A
"Why does satellite data play a crucial part for monitoring climate change?

Satellites are the only reliable tools used for monitoring climate change as they give authoritative and unique insights about the Earth’s climate from space
Satellites are used in conjunction with other data collection tools and methods by scientists to verify models and predictions to help scientists understand, analyse and predict the impact of climate change.
Satellites are the only way to retrieve precise data from remote areas such as Antarctica in order to monitor climate change
Satellites are more economically viable than sending lots of scientists to remote areas such as Antarctica",B
"Sea ice extent is based on whether and area is ‘ice-covered’ or ‘not ice-covered’. What do current studies suggest is happening to sea ice extent?

Sea ice extent has increased over the last 30 years
Sea ice extent has remained approximately the same for the last 30 years 
Sea ice extent has decreased slightly over the last 30 years 
Sea ice extent has dropped rapidly over the last 30 years",D
"What is the relationship between multi-year sea ice and climate change?

Decreasing multi-year ice is a natural process, it is not related to climate change
Decreasing multi-year ice means that there is more first-year sea ice which is positive, because first-year sea ice is stronger than multi-year sea ice
Decreasing multi-year ice operates in a negative feedback loop, which accelerates the warming of the planet
Decreasing multi-year ice operates in positive feedback loop, which decelerates the warming of the planet",C
"With Satellite data allowing us to access data about remote regions and on an unprecedented scale why is it important for scientists to conduct field research?

Satellites are reliable sources of data but they cannot tell us crucial information about what exists under, or in the Earth’s surface
Satellites have consistently proven to give unreliable data, and scientists much constantly check that the data is correct
Satellites are reliable sources of data, which means that the only role of the research scientist is to be a data verifier.
Satellites are reliable sources of data but they are expensive to maintain, so scientists must continue work in the field until satellites are more economically viable for space organisations.",A
"What instrument does CryoSat-2 use to measure sea ice thickness?

SCORAL
SIRI
SIRAL
SORAL",C
"Why is it important for scientists to be able to measure snow on sea ice?

If there is more snow on the sea ice, it is harder to get ships into the area 
Snow pushes sea ice down and makes taking thickness measurements more difficult 
Snow makes sea ice melt and scientists needs to keep track of this effect 
Snow on sea ice causes a degree of inaccuracy in satellite measurements and scientists need to calibrate this, so their measurements from satellites can be accurate",B
"Which of these facts about ice cores is not true?

Most ice core records come from Antarctica and Greenland
Ice cores are cylinders of ice drilled out of an ice sheet or glacier.
Ice cores enclose small bubbles of air that contain a sample of the atmosphere measuring the past’s concentration of gases (including carbon dioxide and methane) in the atmosphere.
Ice cores tell us about the past climate up to 250 years.",D
"What does the GRACE satellite measure?

The Earth’s cryosphere 
The size and density of snow on land 
GRACE tracks and detects the geographical location of icebergs 
GRACE detects gravity fields and measures mass balance",D
"What is a grounding line?

The boundary between where a glacier is set on land and juts into the sea to become a floating ice shelf
The word describes a crack or fission in the ice
The line or beam of data that the satellite collects in relation to the Earth
The point at which research scientists take a line of snow samples to measure grain size",A
"Which statement is not true about the way we can use data about ice velocity to understand changes in our climate?  

Ice velocity maps can be created by SAR data from Sentinel-1
Velocity ice maps are only created by a series of localised field measurements recorded by scientists 
Ice velocity maps show us the direction and pace of moving ice 
Remote sensing techniques that use SAR and optical satellite data derive accurate surface velocities of remote areas on a regular basis",B
"What are ice shelves?

Ice shelves are thick slabs of ice, which are attached to a coastline and extend out over the ocean. They are a seaward extension of the grounded ice sheet.
Ice Shelves are units of measurement that research scientists use to collect data.
Ice shelves are thin slices of the glaciers that give us a cross-section to take data samples from
Ice Shelves are platform-type formations of layers of ice that develop over time from the freezing of fresh water on glaciers.",A
"What is the largest single component of the Cryosphere?

Seasonal snow 
Ice sheets
Glaciers
Sea Ice",A
"How much of the Earth’s surface is covered by river or lake ice?

0.1%
2%
5%
10%",B
"Which statements are true about surging glaciers?

Surging glaciers are glaciers that are subject to cyclical flow instabilities 
Surging glaciers are glaciers which flow at a constant rate down a mountain 
Surging glaciers are short events where a glacier’s velocity moves up to 100 times faster than normal 
Surging glaciers are glaciers which suddenly increase in mass","A, C"
"Why are optical satellites useful in measuring snow cover on land?

They are cheaper than other kinds of satellites 
Snow appears brightly on optical satellite imagery 
Snow is too bright to appear on other kinds of satellite 
It is hard to tell the difference between snow and ice on using Radar satellites",B
"What is snow water equivalent? (Select all that apply)

The amount of rainfall in a topical area compared to the amount of snow in colder areas 
A unit of measuring how much snow weighs
The amount of water contained within a snowpack
The depth of water that would be produced if the entire snowpack melted instantly",C
"To monitor the ocean do we need satellites, local observations or both?
Just satellites
Just local observations
Both",C
"Who can access the Sentinel data?
Only Scientists
Everyone
Only Businesses
Only Students",B
"When was the initial concept of the Copernicus Programme launched?
1998
1999
2008
2016",B
"The Copernicus programme consists of a complex set of systems, which collect data from Earth observation satellites as well as in-situ sensors.

True
False",A
"What is special about the Copernicus programme that helps us to observe and manage climate change (select all that apply)?
Multiple satellites measuring lots of different variables
Continuity of measurements for the next two decades
It provides data all over the world","A, B, C"
"Why are satellites important for studying climate change?
Global coverage of measurements
Consistency of instrumentation
Climate change can only be observed from space
Can be used to validate models
Planning for mitigation","A, B, D, E"
"Why do we need long-term data records?
So we can detect trends
To decide what is natural variability and what is caused by human impacts
To validate models","A, B, C"
"What are the four factors that drive ocean circulation?
Density
Gravity
Planetary motion
Wind
Plate-tectonics","A, B, C, D"
"How is large-scale ocean circulation related to weather (select all that apply)?
Transport of kinetic energy
Transport of heat
Transport of moisture
Influence of winds","B, C, D"
"How long does the full circuit of thermohaline circulation take, from the surface ocean down to the deep ocean and back again?
10 days
100 days
100 years
1000 years",D
"What type of satellite sensor is used to measure sea level rise?
Radiometer
Altimeter
LiDAR",B
"Which factors contribute to sea level rise?
Sea ice melt
Glacier/land ice melt
Water warming
Dam building
Pumping of underground water
River run off","B, C, E"
"El Niño is a climate pattern that describes the unusual warming of surface waters in the eastern tropical Pacific Ocean
True
False",A
"Which types of satellite data can be used to monitor ENSO?
Sea surface temperature
Ocean colour
Sea surface height
Ice cover","A, B, C"
"Are all ENSO events the same?
Yes
No",B
"What sensors are used to measure ice?
Radiometers
Altimeters
Seismometer
Optical imaging instruments
Scatterometers and Synthetic Aperture Radar (SAR)","A, B, D, E"
"Which characteristics of ice allow us to measure it from satellite?
Colour
Gravity
Surface elevation
Surface roughness
Temperature","A, B, C, D, E"
"What are some of the problems caused by land ice melt?
Rising sea level
Loss of habitat
Change in albedo
Change in weather
Loss of freshwater supply","A, B, C, E"
"If the sea level rise trend stays the same, in 2100, the sea will rise from that measured in 2000 by:
3.3mm
3.3cm
33cm
33m",C
"How high are the “hills” measured by altimetry that correspond to currents such as the Gulf Stream?
1mm
1m
50m
50cm",B
"Which of the following services are included in the Copernicus service portfolio? 
Land Monitoring
Marine Monitoring
Atmosphere Monitoring
Emergency Management
Security and Climate Change","A, B, C, D, E"
"Which of the following statements about the El Nino Southern Oscillation are true?
It’s caused by human activity
It’s something that occurs every year
It’s easily predictable
It can cause floods and droughts at the same time
It has global effects","D, E"
"What data is required for weather predictions?
Satellite data about the oceans
Satellite data about the atmosphere
Land Cover Data
In-situ data","A, B, D"
"EUMETSAT operates satellites that provide?
Meteorological data
Oceanographic data
Both",C
"Tropical storms occur mostly in the Inter-tropical Convergence Zone?
True
False",A
"What causes tropical storms to rotate?
Solar Radiation
Ocean Salinity
Earth’s rotation
Winds",C
"The magnitude of storm surges is influenced by?
Storm angle of approach
The shape of the coastline
Wind speed
Tides","A, B, C"
"How can satellites assist in managing the impacts of storm surges?
Prediction
Evacuation planning
Defence situation
Level of inundation
Disaster response","A, B, C, D, E"
"What sensors are used to detect waves from space?
Synthetic Aperture Radars
Altimeters
Radiometers","A, B"
"How high are the highest waves (significant wave heights) ever measured by a satellite?
15 m during a cyclone/hurricane
40 m in the roaring forties
19 m in a North Atlantic winter storm",C
"What is the global average sea level rise since sea levels were first measured in 1992?
8cm
30mm
10cm",A
"Why is the rise in sea level not always consistent over the globe?
Changes in gravity
Differences in current dynamics
Variation in heating effects
Sea level rise is in fact consistent","A, B, C"
"What is the significant wave height defined as?
The mean wave height of the highest third of the waves
The mean wave height of the highest fourth of the waves
The mean wave height of all the waves
The mean wave height of the lowest third of the waves",A
"2) Where do tropical storms get their energy from?
Winds
Waves
Warm sea",C
"How does the ocean affect weather?
Sea surface temperature affects land temperatures
Sea surface temperatures influence evaporation and precipitation
Sea surface temperature influences winds
Ocean heat content affects tropical storms","A, B, C, D"
"Sea level rise is homogeneous around the world?
True
False",B
"What sort of hazards can measurements of ocean transport help us manage?
Icebergs
Algal Blooms
Tsunamis
Oil spills","A, B, D"
"Why does knowledge of currents help ocean shipping?
Reduce journey times and save time and fuel
Avoid dangerous currents/ice
Avoid algal blooms","A, B"
"As well as salinity, what does the SMOS satellite measure?
Ocean turbidity
Sea ice thickness
Soil moisture
Sea surface height","B, C"
"What sort of things change the salinity of the surface oceans?
Rainfall
Ice Melt
River Inputs
All of the Above",D
"Temperature and salinity are responsible for driving which ocean circulation?  
Thermohaline
Upwelling",A
"Which sensors can be used to detect icebergs?
Barometers
Altimeters
Synthetic Aperture Radar
Radiometers","B, C, D"
"Which Sentinel satellite has a radar sensor that can be used to detect icebergs?
Sentinel-1
Sentinel-2
Sentinel-5p",A
"What sort of information can we get about oil spills from satellites?
Location
Extent
Thickness
Potential transport
Dispersed oil","A, B, C, D, E"
"Can satellite data be used as evidence to fine polluters in the case of oil spills?
Yes
No",A
"What sort of things change the colour of ocean water?
Sediments
Algae/phytoplankton
Microplastics","A, B"
"What is the primary cause of harmful algal blooms?
Natural input of nutrients, i.e. from upwelling circulations
Input of nutrients from anthropogenic activities
Ocean warming",B
"What does CTD stand for?
Conductivity, temperature and depth
Carbon, temperature and depth
Calcium, temperature and depth",A
"Are all algae harmful?
Yes
No",B
"What type of instrument is used both in situ and on satellites to measure ocean colour?
Altimeter
Synthetic Aperture Radar (SAR)
Radiometer
Spectrophotometer",C
"What tools can we use to predict ocean transport
Hydrodynamic models
Altimetry derived currents
Theoretical particle/floats.","A, B, C"
"Which sensor would be better for detecting small icebergs near the coast?
Sentinel-3a
Sentinel-2
OCO-2
IceSat",B
"What satellite sensors are used to detect oil?
Altimeters
Synthetic Aperture Radar (SAR)
Infrared radiometers
Optical imagers","B, D"
"What are the challenges to understanding long term variability in phytoplankton dynamics?
Differences between sensors
Gaps in the satellite data record
Many factors influence phytoplankton growth
Limited interest in research","A, B, C"
"What is the name of the ocean colour sensor on board Sentinel 3?
SLSTR
MERIS
OLCI
TROPOMI",C
"Other than phytoplankton, where does carbon in the ocean come from?
Rivers
Rock weathering
Absorbed from the atmosphere
Fish","A, B, C"
"What are the different pools of carbon in the oceans?
Particulate Organic Carbon
Particulate Inorganic Carbon
Dissolved Organic Carbon
Dissolved Inorganic Carbon","A, B, C, D"
"How are phytoplankton (observed from ocean colour) connected to fisheries?
They are the basis of the ocean food chain
Toxins they produce may kill fish or make them inedible
They eat fish larvae","A, B"
"What is oceanic primary production?
The amount of fish and other creatures in the ocean
The synthesis of organic compounds from carbon dioxide by phytoplankton
The movement of ocean currents
The process of ocean water evaporation",B
"The Continuous Plankton Recorder (CPR) is solely designed to capture plankton samples from the water column.
True
False",B
"Tagged animals monitored by satellites can help us?
Understand their behaviour
Understand where their prey lives
Collect extra data on the oceans
Track pollution","A, B, C"
"How can satellite data help us to conserve biodiversity?
Understand what species prefer which habitats.
Help with decision making about the optimal locations for marine reserves.
Measure changes in the environment that may affect different species.","A, B, C"
"What can biologists do with data they receive from tracking animals at sea?
Determine their migration routes
Identify their foraging areas
Evaluate their life expectancy","A, B"
"How do phytoplankton interact with carbon dioxide?
Absorb it when they photosynthesise
Produce it when they photosynthesise
Use it to build their cell walls",A
"What are the two main ways phytoplankton influences the oceans?
Photosynthesis
Heating as a result of light absorption
Predation of other organisms","A, B"
"How might satellite data help fisheries be more sustainable?
Indicate where there are likely to be the most fish so they can all be caught
Indicate where fish nurseries are, so these can be avoided, supporting growth in stocks.
Indicate where mature fish congregate, reducing fishing effort and increasing efficiency
Indicate areas where top predators (e.g. sea birds and sharks) congregate, so fisherman can avoid catching them by accident.","B, C, D"
"How can satellite data help us to measure biodiversity?
Detect specific types of habitats
Observe fish
Follow tracked animals","A, C"
"What sort of uses do policy makers have for marine satellite data?
Assessing marine tourism activities
Quantifying ecosystem status
Marine planning","B, C"
"What is an MPA?
Marine Planning Authority
Marine Protected Area
Marine Protection Authority",B
"What benefits does satellite data have for policy makers?
It gives them more of the whole picture in space and time, rather than individual points
A stable, year-to-year time series
Limited to short-term observations
Can only be used for a specific region","A, B"
"What sort of industries depend on understanding the oceans?
Fishing
Transport
Oil and gas
Military
Tourism
Spacecraft Engineering","A, B, C, D, E"
"What is the blue economy?
The economy related to resources extracted directly from the ocean e.g. oil and gas
All industries that contribute to the economy that depends on the ocean for resources
Ocean tourism",B
"Citizen science contributes real data to scientific research.
True
False",A
"Synthetic Aperture Radar (SAR) imagery provides information about the motion of the sea surface. What can changes in colour/shading indicate in a SAR image?
Changes in sea surface temperature
Changes in heat content
Changes in the wind field",C
"How long are the Copernicus programme’s sensors designed to continue?
The next 5 years
The next 20 years
The next 50 years",B
"What benefits does Copernicus have for policy makers?
Continued data coverage into the future
A range of ocean parameters from satellite
Both satellite and model data
Available at low cost
Available free","A, B, C, E"
"What climate does Greenland have?
Mild arctic climate
Semi-arid arctic climate
Subarctic climate",B
"Have Greenland ice losses increased or decreased over the past 2-3 decades?
Increased
Decreased",A
"Which of the following is possible when using radar in measurements of snow physics?
It can look at the microstructure of snow grains
It can look at variations in density within the first 10 to 20 metres.
It can measure variations in snow structure within the first 50 metres.",B
"How long has Greenland’s Ice Sheet been around for?
50 000 years
100 000 to 200 000 years
400 000 years",B
"How long is the cycle of an ice age?
10,000 years
100,000 years
1 million years",B
"How much of its volume did the Greenland Ice Sheet lose during the last interglacial?
20%
12%
30%",C
"How old are the most ancient rocks in Greenland?
100 million years
1.5 billion years
3 to 4 billion years",C
"What is the effect of the weight of the ice sheet on rock in the centre of Greenland
There is no rock beneath the ice sheet
The landmass in the centre of Greenland has been pushed below sea level by the weight of the ice
The rock has been eroded by the ice",B
"What does ELA stand for?
Equilibrium Line Area
Equilibrium Level Altitude
Equilibrium Line Altitude",C
"How many metres of ice have been lost at Swiss camp since 2000?
12 metres
15 metres
10 metres",A
"How much volume of ice is lost in Greenland by melt and fast-moving ice?
around 160 cubic kilometre
around 360 cubic kilometres
around 560 cubic kilometre",B
"What is needed to validate satellite data on the Greenland Ice Sheet? (Select all that apply)
Ground-based measurements
Continuous research over time
Antarctic biomass readings","A, B"
"How many Automatic Weather Stations (AWS) are there in the Greenland Climate Network?
20
10
3",A
"How far has the ELA moved since Swiss camp was set up?
20-25km upslope
30-40km upslope
30-40km downslope",B
"What does a SnowMicroPen measure?
The thickness of the ice
The albedo
The individual grain layers in the snow",C
"What was agreed at the COP21 conference within the Paris Agreement?
Global warming should keep well below 2 degrees C
Global warming is not a long-term issue
Global warming can be reversed",A
"What year was the Swiss Camp climate research station in Greenland founded?
1993
1990
1999",B
"How far has Swiss camp station moved since 1990, due to the effects of climate change and ice melt?
1 1/2km
2 1/2km
3 1/2km",B
"Which of the following measurements are done on Automatic Weather Stations in Greenland?
Variability of temperature change
Synthetic Aperture Radar imaging
LIDAR remote sensing",A
"What are the two types of satellite imagery used in observing the Greenland Ice Sheet? (Pick 2 answers)
Optical
GPS
Synthetic Aperture Radar (SAR)","A, C"
"Where has ice speed-up predominantly occurred on Greenland?
In the Southern region
In the Northern region
In the Eastern region",A
"How much has Greenland’s melt area increased by since 1973?
By 3 1/2 times
By 2 times
By 2 1/2 times",C
"What is CryoSat?
An altimetry satellite built by ESA and dedicated to polar observation
An altimetry satellite built by NASA and dedicated to polar observation
The fifth mission in ESA’s fleet of Earth explorers dedicated to provide the best-ever survey of the geomagnetic field and the electric field in the atmosphere",A
"When was CryoSat-2 launched?
March 2015
April 2011
April 2010",C
"What type of measurement does CryoSat-2 take?
Sea level
Ice thickness and mass
Chlorophyll levels",B
"What is Firn?
Deep glacial ice that formed over many years
Newly fallen snow
Porous snow that has survived at least one summer
Chlorophyll levels",C
"What does GPR stand for?
Ground Pulsing Radar
Ground Penetrating Radar
Ground Projecting Radar",B
"What can GPR measure in the snow-pack?
Snow structure and thickness
Water content
Pollutants","A, B"
"What is surface albedo?
The speed at which a surface will melt
The width of a surface
The ratio of radiation reflected to the radiation incident on a surface",C
"What is the effect on albedo when ice grains are coarse?
The albedo is higher
The albedo is smaller
The albedo is the same",B
"What is the rate at which Greenland’s Jakobshavn glacier is advancing?
11km per year
13km per year
18km per year",C
"What has caused the Greenland Ice Sheet to advance at a rate of 90cm each day, over the last few summers?
Meltwater penetrating under the ice and acting as a lubricant
Large icebergs breaking up in the centre of the ice sheet causing the edges to fall into the sea
Increased snowfall compacting the ice more quickly",A
"What do GPS instruments measure at Automatic Weather Stations in Greenland?
Velocity and height change
Ice thickness
Sea level rise",A
"What is an advantage of using synthetic aperture radar over optical imagery when looking at Greenland?
It is higher resolution so details such as glacier features can be easily seen
It can see through clouds, giving all weather, day and night capabilities
It can take images over a very large area",B
"What measures the height of the Earth’s surface on CryoSat-2?
Altimeter
Thermometer
Scatterometer",A
"What is hoar frost?
Heavy snow
Light snow
Dark snow",B
"Which instruments does CryoSat-2 use?
SAR and ASM
SIRAL and DORIS
VFM and STM",B
"What does ablation refer to?
Melting of snow or ice
Accumulation of snow or ice
Surface albedo",A
"What can only be measured with ground-based point measurements?
Microstructure of snow
Surface temperature
Ice thickness",A
"Where do we expect the biggest contribution to sea level rise eventually to come from, in a warmer climate?
Greenland
Antarctica
Arctic",B
"What is a Moulin?
A river of water
Frozen sea ice
A vertical or nearly vertical shaft in a glacier",C
"What are melt lakes?
Water from sea ice melt
Small blue areas on top of the ice sheet where meltwater collects
Pools of water that form from condensation",B
"What are some of the benefits of sea ice cover?
It absorbs pollutants
It acts to insulate the warmer ocean from the cooler atmosphere
It reflects a large percentage of solar radiation","B, C"
"Approximately how much has summer sea ice extent declined by each decade since the late 1970s?
20%
13%
40%",B
"Which of the following can Greenland Ice Sheet melt have an impact on?
Oceanic circulation
Atmospheric circulation
Weather
Climate
All of the above",E
"Ice speed can change in response to...?
Long term climate change
Short term climate changes
Both",C
"What do interferograms measure?
Deformation and motion of the ice’s surface
Sea ice interference
Sea level rise",A
"What is the calving front of an ice stream?
The area with the highest amount of calving
The line between land ice and sea ice
The point where icebergs are lost from a glacier",C
"What does Altimetry measure?
Surface elevation and elevation change
Surface temperature
The depth of the ice",A
"What is the equivalent combined total area of Greenland's peripheral glaciers and ice caps?
⅓ the size of England
⅔ the size of England
¾ the size of England",B
"What has been the estimated rate of coastal ice cap thinning in Greenland since 2003?
50cm per year
80cm per year
70cm per year",A
"What is PARCA?
A collaboration of research centres measuring the Greenland Ice Sheet
An instrument on CryoSat-2
Climate change modelling system",A
"Which of the characteristics of ice and lake sediment cores below can reveal information about past environments and climate change?
Biological remains
Changes in the chemistry of air bubbles
Temperature variation
All of the above",D
"Which of the following ecosystem changes are linked to changes in the Greenland Ice Sheet?
Plants are migrating further north
Plants are migrating further south
Longer growing seasons","A, C"
"What is a grounding line?
The line between the area of melt water and frozen glacier
Lines carved out by a moving glacier
The line where the glacier or ice shelf becomes afloat",C
"What is a Floe?
A flow of melt water
A sheet of sea ice
A large crack in the ice",B
"Roughly how much sea level rise has there been globally since 2003 due to melting of Greenland's coastal ice caps?
1mm
2mm
7mm",B
"What is causing sea level to rise fastest?
Glaciers
Rainfall
Melting sea ice",A
"What is the approximate combined contribution to global sea level rise caused by Greenland and Antarctica ice sheet melt?
50%
40%
70%",B
"When were the first aerial photographs taken?
18th Century
19th Century
20th Century",B
"Which of these is NOT an application of Earth Observation?
Weather forecasting
Forest cover
Tropical cyclone formation
Star brightness",D
"What do we call the part of the spectrum where most of the sun’s energy is concentrated?
Optical
Thermal
Radar",A
"The visible part of the electromagnetic spectrum is between which wavelengths?
0.4-0.7 m
400-700m
400-700nm",C
"An atmospheric window is a region of the spectrum where…?
We can view clouds?
There is a hole in the atmosphere?
Electromagnetic radiation is not absorbed, allowing us to view the surface of the Earth?",C
"RADAR wavelengths are useful for EO because..
They allow us to see through clouds
They interact more usefully with plants and other biological systems
They allow us to see beneath the surface?",A
"What is the advantage of geostationary satellites?
They orbit once per day and so see all of the Earth’s surface.
They focus on one particular part of the Earth over time.
They are high spatial resolution.",B
"Observing land cover change is a key focus of satellite EO because?
It shows that the Earth’s surface changes little.
It is a highly effective way of observing changes in land use, especially those caused by man-made changes to the environment.
It helps us monitor weather patterns.",B
"Observing lights from cities and other built areas is useful as a proxy indicator for? 
Land cover change
Poverty
Forest cover","A, B"
"What is one of the key advantages of having a ‘constellation’ of one or more satellites making the same observations?
Redundancy – if one fails, we have a backup.
Increased temporal coverage.
Longer term monitoring.","A, B, C"
"What does the Sentinel-2 mission consist of?
Two optical instruments
One radar and one optical instrument
Two radar instruments",A
"The spatial and temporal resolution of Sentinel 2 is…?
Much higher than Landsat?
Much lower than Landsat?
About the same as Landsat?",A
"How many wavebands does Sentinel 2 sense in?
12
3
13",C
"Why do plants reflect more green light than other visible light?
Green light is used in photosynthesis
Green light is not used in photosynthesis",B
"Does soil absorb more or less near infrared light than plants?
More
Less",A
"What is LiDAR very good at measuring?
Sea surface temperature
Forest canopy height
Biomass
Land use change","B, C"
"What form of remote sensing is LiDAR?
Passive
Active",B
"A key advantage of EO in the optical part of the electromagnetic spectrum is?
We can measure the surface at night?
We can measure surface temperature?
We can use the sun’s reflected radiation to tell us about biological and physical processes?",C
